rep,n,d,N,type,method,metric,value
0,200,2,100,linear,NPT-FR,Wasserstein,12.053636823457701
0,200,2,100,linear,Marginal-FR,Wasserstein,12.292273863588091
0,200,2,100,linear,Gaussian-FR,Wasserstein,15.305293738957008
1,200,2,100,linear,NPT-FR,Wasserstein,12.694924333613415
1,200,2,100,linear,Marginal-FR,Wasserstein,12.829552684511164
1,200,2,100,linear,Gaussian-FR,Wasserstein,15.85051595668648
2,200,2,100,linear,NPT-FR,Wasserstein,12.979433599053499
2,200,2,100,linear,Marginal-FR,Wasserstein,13.261670082079359
2,200,2,100,linear,Gaussian-FR,Wasserstein,16.262675274060683
3,200,2,100,linear,NPT-FR,Wasserstein,11.82954773101999
3,200,2,100,linear,Marginal-FR,Wasserstein,12.126855576217299
3,200,2,100,linear,Gaussian-FR,Wasserstein,15.040669232277052
4,200,2,100,linear,NPT-FR,Wasserstein,11.871998981480683
4,200,2,100,linear,Marginal-FR,Wasserstein,12.185342762003907
4,200,2,100,linear,Gaussian-FR,Wasserstein,15.296877284302104
5,200,2,100,linear,NPT-FR,Wasserstein,13.58035310120614
5,200,2,100,linear,Marginal-FR,Wasserstein,13.905907593824802
5,200,2,100,linear,Gaussian-FR,Wasserstein,17.09150512319828
6,200,2,100,linear,NPT-FR,Wasserstein,12.542094715975818
6,200,2,100,linear,Marginal-FR,Wasserstein,12.803254897933652
6,200,2,100,linear,Gaussian-FR,Wasserstein,15.771854459623027
7,200,2,100,linear,NPT-FR,Wasserstein,12.3444941466385
7,200,2,100,linear,Marginal-FR,Wasserstein,12.534073116677984
7,200,2,100,linear,Gaussian-FR,Wasserstein,15.648938636260773
8,200,2,100,linear,NPT-FR,Wasserstein,12.514460199470545
8,200,2,100,linear,Marginal-FR,Wasserstein,12.75685023868482
8,200,2,100,linear,Gaussian-FR,Wasserstein,16.100504172131988
9,200,2,100,linear,NPT-FR,Wasserstein,10.812336256053955
9,200,2,100,linear,Marginal-FR,Wasserstein,10.992912929394603
9,200,2,100,linear,Gaussian-FR,Wasserstein,14.233799148304465
10,200,2,100,linear,NPT-FR,Wasserstein,12.535860638723143
10,200,2,100,linear,Marginal-FR,Wasserstein,12.79098962537464
10,200,2,100,linear,Gaussian-FR,Wasserstein,15.872362373389883
11,200,2,100,linear,NPT-FR,Wasserstein,12.200997591895227
11,200,2,100,linear,Marginal-FR,Wasserstein,12.466110358930633
11,200,2,100,linear,Gaussian-FR,Wasserstein,15.305652669071222
12,200,2,100,linear,NPT-FR,Wasserstein,12.590118129409941
12,200,2,100,linear,Marginal-FR,Wasserstein,12.81500554357554
12,200,2,100,linear,Gaussian-FR,Wasserstein,15.770346662868556
13,200,2,100,linear,NPT-FR,Wasserstein,13.286656305552729
13,200,2,100,linear,Marginal-FR,Wasserstein,13.593874299041705
13,200,2,100,linear,Gaussian-FR,Wasserstein,16.587094084490573
14,200,2,100,linear,NPT-FR,Wasserstein,13.255478364539961
14,200,2,100,linear,Marginal-FR,Wasserstein,13.449740664100176
14,200,2,100,linear,Gaussian-FR,Wasserstein,16.334979519467716
15,200,2,100,linear,NPT-FR,Wasserstein,11.95794064974746
15,200,2,100,linear,Marginal-FR,Wasserstein,12.134946861318731
15,200,2,100,linear,Gaussian-FR,Wasserstein,15.05682740479755
16,200,2,100,linear,NPT-FR,Wasserstein,13.707587145716001
16,200,2,100,linear,Marginal-FR,Wasserstein,13.936738686260767
16,200,2,100,linear,Gaussian-FR,Wasserstein,16.7557512797133
17,200,2,100,linear,NPT-FR,Wasserstein,12.155822046679189
17,200,2,100,linear,Marginal-FR,Wasserstein,12.410522036116097
17,200,2,100,linear,Gaussian-FR,Wasserstein,15.152967989693323
18,200,2,100,linear,NPT-FR,Wasserstein,13.016626064475833
18,200,2,100,linear,Marginal-FR,Wasserstein,13.304387165543742
18,200,2,100,linear,Gaussian-FR,Wasserstein,16.328160060970003
19,200,2,100,linear,NPT-FR,Wasserstein,11.642690346629092
19,200,2,100,linear,Marginal-FR,Wasserstein,11.86169436678003
19,200,2,100,linear,Gaussian-FR,Wasserstein,14.915686155008068
20,200,2,100,linear,NPT-FR,Wasserstein,12.16142144213734
20,200,2,100,linear,Marginal-FR,Wasserstein,12.34742381506734
20,200,2,100,linear,Gaussian-FR,Wasserstein,15.284306841472409
21,200,2,100,linear,NPT-FR,Wasserstein,12.856576560200967
21,200,2,100,linear,Marginal-FR,Wasserstein,13.065887047960764
21,200,2,100,linear,Gaussian-FR,Wasserstein,16.218839322164833
22,200,2,100,linear,NPT-FR,Wasserstein,11.42215502836276
22,200,2,100,linear,Marginal-FR,Wasserstein,11.759672501382118
22,200,2,100,linear,Gaussian-FR,Wasserstein,14.76277252889448
23,200,2,100,linear,NPT-FR,Wasserstein,12.211532982953845
23,200,2,100,linear,Marginal-FR,Wasserstein,12.460700049542902
23,200,2,100,linear,Gaussian-FR,Wasserstein,15.459404020734768
24,200,2,100,linear,NPT-FR,Wasserstein,11.185852500185021
24,200,2,100,linear,Marginal-FR,Wasserstein,11.380501875348516
24,200,2,100,linear,Gaussian-FR,Wasserstein,14.634484116928386
25,200,2,100,linear,NPT-FR,Wasserstein,12.59371130586715
25,200,2,100,linear,Marginal-FR,Wasserstein,12.851992415103462
25,200,2,100,linear,Gaussian-FR,Wasserstein,15.894999846021834
