rep,n,d,N,type,method,metric,value
0,100,2,100,linear,NPT-FR,Wasserstein,13.8196242132113
0,100,2,100,linear,Marginal-FR,Wasserstein,14.076246295649389
0,100,2,100,linear,Gaussian-FR,Wasserstein,17.580696978742033
1,100,2,100,linear,NPT-FR,Wasserstein,12.608362216473644
1,100,2,100,linear,Marginal-FR,Wasserstein,12.764310258627498
1,100,2,100,linear,Gaussian-FR,Wasserstein,15.87657049039999
2,100,2,100,linear,NPT-FR,Wasserstein,12.25477089965149
2,100,2,100,linear,Marginal-FR,Wasserstein,12.53811022236371
2,100,2,100,linear,Gaussian-FR,Wasserstein,15.924298676772345
3,100,2,100,linear,NPT-FR,Wasserstein,11.744615368543851
3,100,2,100,linear,Marginal-FR,Wasserstein,11.985151532910782
3,100,2,100,linear,Gaussian-FR,Wasserstein,15.047203174317366
4,100,2,100,linear,NPT-FR,Wasserstein,12.27026886170711
4,100,2,100,linear,Marginal-FR,Wasserstein,12.482488594083838
4,100,2,100,linear,Gaussian-FR,Wasserstein,15.32124900625856
5,100,2,100,linear,NPT-FR,Wasserstein,12.458501835919472
5,100,2,100,linear,Marginal-FR,Wasserstein,12.666654460987909
5,100,2,100,linear,Gaussian-FR,Wasserstein,15.624413306101506
6,100,2,100,linear,NPT-FR,Wasserstein,12.480098822125063
6,100,2,100,linear,Marginal-FR,Wasserstein,12.648864029509093
6,100,2,100,linear,Gaussian-FR,Wasserstein,15.414586598351077
7,100,2,100,linear,NPT-FR,Wasserstein,12.234002707192278
7,100,2,100,linear,Marginal-FR,Wasserstein,12.456203499343792
7,100,2,100,linear,Gaussian-FR,Wasserstein,15.53935806271655
8,100,2,100,linear,NPT-FR,Wasserstein,13.856613262548539
8,100,2,100,linear,Marginal-FR,Wasserstein,14.012399075707352
8,100,2,100,linear,Gaussian-FR,Wasserstein,16.806778347446514
9,100,2,100,linear,NPT-FR,Wasserstein,13.900473445445853
9,100,2,100,linear,Marginal-FR,Wasserstein,14.007228796773793
9,100,2,100,linear,Gaussian-FR,Wasserstein,16.964804342089103
10,100,2,100,linear,NPT-FR,Wasserstein,13.656401691645353
10,100,2,100,linear,Marginal-FR,Wasserstein,13.88022037878766
10,100,2,100,linear,Gaussian-FR,Wasserstein,16.96679238704469
11,100,2,100,linear,NPT-FR,Wasserstein,13.30392364024289
11,100,2,100,linear,Marginal-FR,Wasserstein,13.416179498383343
11,100,2,100,linear,Gaussian-FR,Wasserstein,16.839412027980448
12,100,2,100,linear,NPT-FR,Wasserstein,12.501472486219317
12,100,2,100,linear,Marginal-FR,Wasserstein,12.792521507458016
12,100,2,100,linear,Gaussian-FR,Wasserstein,15.592490092825061
13,100,2,100,linear,NPT-FR,Wasserstein,11.658868535115946
13,100,2,100,linear,Marginal-FR,Wasserstein,11.792439580854937
13,100,2,100,linear,Gaussian-FR,Wasserstein,15.07281403682412
14,100,2,100,linear,NPT-FR,Wasserstein,15.46643048938972
14,100,2,100,linear,Marginal-FR,Wasserstein,15.687670336476362
14,100,2,100,linear,Gaussian-FR,Wasserstein,18.123751957757158
15,100,2,100,linear,NPT-FR,Wasserstein,11.676232289405743
15,100,2,100,linear,Marginal-FR,Wasserstein,11.896088444079837
15,100,2,100,linear,Gaussian-FR,Wasserstein,14.669729298220519
16,100,2,100,linear,NPT-FR,Wasserstein,12.510475911999457
16,100,2,100,linear,Marginal-FR,Wasserstein,12.794780910371683
16,100,2,100,linear,Gaussian-FR,Wasserstein,16.16703058814231
17,100,2,100,linear,NPT-FR,Wasserstein,11.605643001571535
17,100,2,100,linear,Marginal-FR,Wasserstein,11.907794932774996
17,100,2,100,linear,Gaussian-FR,Wasserstein,14.827137155978944
18,100,2,100,linear,NPT-FR,Wasserstein,12.08070486168713
18,100,2,100,linear,Marginal-FR,Wasserstein,12.305202872889389
18,100,2,100,linear,Gaussian-FR,Wasserstein,15.221412897828369
19,100,2,100,linear,NPT-FR,Wasserstein,12.865976550936873
19,100,2,100,linear,Marginal-FR,Wasserstein,13.107406052522663
19,100,2,100,linear,Gaussian-FR,Wasserstein,16.23492789608908
20,100,2,100,linear,NPT-FR,Wasserstein,12.777324352901816
20,100,2,100,linear,Marginal-FR,Wasserstein,12.965731683117
20,100,2,100,linear,Gaussian-FR,Wasserstein,15.906813327530262
21,100,2,100,linear,NPT-FR,Wasserstein,12.71360015212932
21,100,2,100,linear,Marginal-FR,Wasserstein,12.901319334927773
21,100,2,100,linear,Gaussian-FR,Wasserstein,15.7143737145837
22,100,2,100,linear,NPT-FR,Wasserstein,13.375793658897484
22,100,2,100,linear,Marginal-FR,Wasserstein,13.633259920277377
22,100,2,100,linear,Gaussian-FR,Wasserstein,16.436632063510967
23,100,2,100,linear,NPT-FR,Wasserstein,13.012231702780282
23,100,2,100,linear,Marginal-FR,Wasserstein,13.210756160904625
23,100,2,100,linear,Gaussian-FR,Wasserstein,16.481366083495786
24,100,2,100,linear,NPT-FR,Wasserstein,12.377070405984282
24,100,2,100,linear,Marginal-FR,Wasserstein,12.568971481095982
24,100,2,100,linear,Gaussian-FR,Wasserstein,15.886427418028783
25,100,2,100,linear,NPT-FR,Wasserstein,13.023004977328936
25,100,2,100,linear,Marginal-FR,Wasserstein,13.314838544191705
25,100,2,100,linear,Gaussian-FR,Wasserstein,16.288192778914294
26,100,2,100,linear,NPT-FR,Wasserstein,12.321417577875737
26,100,2,100,linear,Marginal-FR,Wasserstein,12.55855001436181
26,100,2,100,linear,Gaussian-FR,Wasserstein,15.670294826765257
27,100,2,100,linear,NPT-FR,Wasserstein,11.574359870433895
27,100,2,100,linear,Marginal-FR,Wasserstein,11.777716034303259
27,100,2,100,linear,Gaussian-FR,Wasserstein,14.864483795229747
28,100,2,100,linear,NPT-FR,Wasserstein,12.548425505415128
28,100,2,100,linear,Marginal-FR,Wasserstein,12.72302570709974
28,100,2,100,linear,Gaussian-FR,Wasserstein,15.547571472489995
29,100,2,100,linear,NPT-FR,Wasserstein,13.012295830726321
29,100,2,100,linear,Marginal-FR,Wasserstein,13.203784526107924
29,100,2,100,linear,Gaussian-FR,Wasserstein,16.093415696248126
30,100,2,100,linear,NPT-FR,Wasserstein,12.974599709863393
30,100,2,100,linear,Marginal-FR,Wasserstein,13.185424260666249
30,100,2,100,linear,Gaussian-FR,Wasserstein,16.613226150925946
31,100,2,100,linear,NPT-FR,Wasserstein,13.495026768495686
31,100,2,100,linear,Marginal-FR,Wasserstein,13.78911454932604
31,100,2,100,linear,Gaussian-FR,Wasserstein,16.801602688461315
32,100,2,100,linear,NPT-FR,Wasserstein,12.49108249987563
32,100,2,100,linear,Marginal-FR,Wasserstein,12.695899235876944
32,100,2,100,linear,Gaussian-FR,Wasserstein,16.021561921726004
