rep,n,d,N,type,method,metric,value
14,50,2,100,linear,NPT-FR,Correlation,0.006367066846089537
14,50,2,100,linear,Marginal-FR,Marginal,6.32939766764849
14,50,2,100,linear,Marginal-FR,Correlation,0.020201062121141856
14,50,2,100,linear,Gaussian-FR,Marginal,7.733321310092052
14,50,2,100,linear,Gaussian-FR,Correlation,0.0058362197762082514
15,50,2,100,linear,NPT-FR,Marginal,6.027395883655191
15,50,2,100,linear,NPT-FR,Correlation,0.005251640559799966
15,50,2,100,linear,Marginal-FR,Marginal,6.027395883655191
15,50,2,100,linear,Marginal-FR,Correlation,0.02106972820784478
15,50,2,100,linear,Gaussian-FR,Marginal,7.150008612502429
15,50,2,100,linear,Gaussian-FR,Correlation,0.005591863349276759
16,50,2,100,linear,NPT-FR,Marginal,6.398176446643034
16,50,2,100,linear,NPT-FR,Correlation,0.005667381431664237
16,50,2,100,linear,Marginal-FR,Marginal,6.398176446643034
16,50,2,100,linear,Marginal-FR,Correlation,0.01922569424482592
16,50,2,100,linear,Gaussian-FR,Marginal,7.5691120853683955
16,50,2,100,linear,Gaussian-FR,Correlation,0.0056682530056280595
17,50,2,100,linear,NPT-FR,Marginal,6.58081390473613
17,50,2,100,linear,NPT-FR,Correlation,0.005857734654731337
17,50,2,100,linear,Marginal-FR,Marginal,6.58081390473613
17,50,2,100,linear,Marginal-FR,Correlation,0.022003858711108708
17,50,2,100,linear,Gaussian-FR,Marginal,8.107259156731942
17,50,2,100,linear,Gaussian-FR,Correlation,0.006376835965152555
18,50,2,100,linear,NPT-FR,Marginal,5.697848046687767
18,50,2,100,linear,NPT-FR,Correlation,0.007285956423156947
18,50,2,100,linear,Marginal-FR,Marginal,5.697848046687767
18,50,2,100,linear,Marginal-FR,Correlation,0.023229129259579293
18,50,2,100,linear,Gaussian-FR,Marginal,7.237769769335347
18,50,2,100,linear,Gaussian-FR,Correlation,0.006983670969334645
19,50,2,100,linear,NPT-FR,Marginal,6.269137984928303
19,50,2,100,linear,NPT-FR,Correlation,0.006173422974824437
19,50,2,100,linear,Marginal-FR,Marginal,6.269137984928303
19,50,2,100,linear,Marginal-FR,Correlation,0.01918529530013671
19,50,2,100,linear,Gaussian-FR,Marginal,7.535175753658747
19,50,2,100,linear,Gaussian-FR,Correlation,0.00632232468253365
